Comment,Designator,Footprint,LCSC
1k,R12,R_0402_1005Metric,C11702
OPA354,U4,SOT-23-5,C13388
220pF NP0,C13,C_0402_1005Metric,C1530
JST SH,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404
100,"R1,R2,R3,R4",R_0402_1005Metric,C25076
100k,"R10,R11,R14,R15,R16,R17,R18,R19,R20,R21,R6,R7,R8,R9",R_0402_1005Metric,C25741
10k,R5,R_0402_1005Metric,C25744
100nF,"C1,C11,C12,C14,C2,C3,C4,C6,C8",C_0402_1005Metric,C307331
1uF,"C10,C7,C9",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U2,SOT-23,C5446
74HC4051,"U3,U5",TSSOP16,C5645
STM32F072CBT6,U1,LQFP-48_7x7mm_P0.5mm,C81720
10uF,C5,C_0603_1608Metric,C96446
