Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,91.305781,-87.41104,0.0,bottom
C2,100nF,C_0402_1005Metric,102.748947,-96.48111,0.0,bottom
C3,100nF,C_0402_1005Metric,95.338911,-97.801219,180.0,bottom
C4,100nF,C_0402_1005Metric,93.917736,-96.356833,270.0,bottom
C5,10uF,C_0603_1608Metric,102.1875,-85.171679,90.0,bottom
C6,100nF,C_0402_1005Metric,102.824169,-87.744612,180.0,bottom
C7,1uF,C_0402_1005Metric,91.286913,-86.388884,0.0,bottom
C8,100nF,C_0402_1005Metric,92.829846,-96.52375,270.0,bottom
C9,1uF,C_0402_1005Metric,37.937327,-50.75,0.0,bottom
C10,1uF,C_0402_1005Metric,37.900888,-55.70625,0.0,bottom
C11,100nF,C_0402_1005Metric,50.28,-67.46875,0.0,bottom
C12,100nF,C_0402_1005Metric,96.821959,-85.156329,270.0,bottom
C13,220pF NP0,C_0402_1005Metric,91.516766,-83.668224,270.0,bottom
C14,100nF,C_0402_1005Metric,197.9175,-83.34375,0.0,bottom
J1,JST SH,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,40.275,-46.0375,270.0,bottom
R1,100,R_0402_1005Metric,131.550562,-86.512696,180.0,bottom
R2,100,R_0402_1005Metric,131.551054,-85.44871,180.0,bottom
R3,100,R_0402_1005Metric,131.562586,-84.435371,180.0,bottom
R4,100,R_0402_1005Metric,131.55625,-83.398811,180.0,bottom
R5,10k,R_0402_1005Metric,97.242794,-97.806776,0.0,bottom
R6,100k,R_0402_1005Metric,43.16625,-72.23125,180.0,bottom
R7,100k,R_0402_1005Metric,50.59375,-71.72125,90.0,bottom
R8,100k,R_0402_1005Metric,51.3875,-69.56625,90.0,bottom
R9,100k,R_0402_1005Metric,47.92875,-66.675,180.0,bottom
R10,100k,R_0402_1005Metric,47.7025,-77.7875,180.0,bottom
R11,100k,R_0402_1005Metric,93.278585,-86.426391,180.0,bottom
R12,1k,R_0402_1005Metric,96.818624,-83.189724,270.0,bottom
R14,100k,R_0402_1005Metric,191.0875,-85.44125,90.0,bottom
R15,100k,R_0402_1005Metric,198.4375,-85.44125,90.0,bottom
R16,100k,R_0402_1005Metric,196.64375,-80.4525,90.0,bottom
R17,100k,R_0402_1005Metric,191.0875,-87.8225,270.0,bottom
R18,100k,R_0402_1005Metric,195.05625,-93.94625,270.0,bottom
R19,100k,R_0402_1005Metric,199.762643,-85.452552,90.0,bottom
R20,100k,R_0402_1005Metric,197.680702,-93.383372,270.0,bottom
R21,100k,R_0402_1005Metric,51.3875,-76.99375,180.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,98.615668,-92.075,180.0,bottom
U2,XC6206PxxxMR-Regulator_Linear,SOT-23,37.89375,-53.18125,90.0,bottom
U3,74HC4051,TSSOP16,47.41936,-72.357305,0.0,bottom
U4,OPA354,SOT-23-5,94.138716,-84.1375,180.0,bottom
U5,74HC4051,TSSOP16,195.05686,-88.232305,0.0,bottom
